"epoch","nudge 0.1 sigma  - _step","nudge 0.1 sigma  - _step__MIN","nudge 0.1 sigma  - _step__MAX","nudge 0.1 sigma  - hard accuracy","nudge 0.1 sigma  - hard accuracy__MIN","nudge 0.1 sigma  - hard accuracy__MAX","nudge 0.1 base - _step","nudge 0.1 base - _step__MIN","nudge 0.1 base - _step__MAX","nudge 0.1 base - hard accuracy","nudge 0.1 base - hard accuracy__MIN","nudge 0.1 base - hard accuracy__MAX","onehot - _step","onehot - _step__MIN","onehot - _step__MAX","onehot - hard accuracy","onehot - hard accuracy__MIN","onehot - hard accuracy__MAX","soft - _step","soft - _step__MIN","soft - _step__MAX","soft - hard accuracy","soft - hard accuracy__MIN","soft - hard accuracy__MAX"
"1","31","31","31","0.1137","0.1137","0.1137","21","21","21","0.1137","0.1137","0.1137","11","11","11","0.1137","0.1137","0.1137","11","11","11","0.1137","0.1137","0.1137"
"1.999","1001","1001","1001","0.2621","0.2621","0.2621","981","981","981","0.2661","0.2661","0.2661","961","961","961","0.9364","0.9364","0.9364","961","961","961","0.8918","0.8918","0.8918"
"2.999","1971","1971","1971","0.2753","0.2753","0.2753","1941","1941","1941","0.2785","0.2785","0.2785","1911","1911","1911","0.9597","0.9597","0.9597","1911","1911","1911","0.9279","0.9279","0.9279"
"3.999","2941","2941","2941","0.2906","0.2906","0.2906","2901","2901","2901","0.2972","0.2972","0.2972","2861","2861","2861","0.9667","0.9667","0.9667","2861","2861","2861","0.9411","0.9411","0.9411"
"4.999","3911","3911","3911","0.2986","0.2986","0.2986","3861","3861","3861","0.3186","0.3186","0.3186","3811","3811","3811","0.9729","0.9729","0.9729","3811","3811","3811","0.9541","0.9541","0.9541"
"5.999","4881","4881","4881","0.3219","0.3219","0.3219","4821","4821","4821","0.3651","0.3651","0.3651","4761","4761","4761","0.9755","0.9755","0.9755","4761","4761","4761","0.9585","0.9585","0.9585"
"6.999","5851","5851","5851","0.3451","0.3451","0.3451","5781","5781","5781","0.4161","0.4161","0.4161","5711","5711","5711","0.9786","0.9786","0.9786","5711","5711","5711","0.9641","0.9641","0.9641"
"7.999","6821","6821","6821","0.3545","0.3545","0.3545","6741","6741","6741","0.4559","0.4559","0.4559","6661","6661","6661","0.9807","0.9807","0.9807","6661","6661","6661","0.9692","0.9692","0.9692"
"8.999","7791","7791","7791","0.384","0.384","0.384","7701","7701","7701","0.4787","0.4787","0.4787","7611","7611","7611","0.9807","0.9807","0.9807","7611","7611","7611","0.9705","0.9705","0.9705"
"9.999","8761","8761","8761","0.3884","0.3884","0.3884","8661","8661","8661","0.5098","0.5098","0.5098","8561","8561","8561","0.983","0.983","0.983","8561","8561","8561","0.9732","0.9732","0.9732"
"10.999","9731","9731","9731","0.3929","0.3929","0.3929","9621","9621","9621","0.5549","0.5549","0.5549","9511","9511","9511","0.9836","0.9836","0.9836","9511","9511","9511","0.9735","0.9735","0.9735"
"11.999","10701","10701","10701","0.4013","0.4013","0.4013","10581","10581","10581","0.6068","0.6068","0.6068","10461","10461","10461","0.9855","0.9855","0.9855","10461","10461","10461","0.9762","0.9762","0.9762"
"12.999","11671","11671","11671","0.4006","0.4006","0.4006","11541","11541","11541","0.6585","0.6585","0.6585","11411","11411","11411","0.9855","0.9855","0.9855","11411","11411","11411","0.9767","0.9767","0.9767"
"13.999","12641","12641","12641","0.3983","0.3983","0.3983","12501","12501","12501","0.707","0.707","0.707","12361","12361","12361","0.9864","0.9864","0.9864","12361","12361","12361","0.9765","0.9765","0.9765"
"14.999","13611","13611","13611","0.4004","0.4004","0.4004","13461","13461","13461","0.725","0.725","0.725","13311","13311","13311","0.9861","0.9861","0.9861","13311","13311","13311","0.9781","0.9781","0.9781"
"15.999","14581","14581","14581","0.401","0.401","0.401","14421","14421","14421","0.7383","0.7383","0.7383","14261","14261","14261","0.9872","0.9872","0.9872","14261","14261","14261","0.9787","0.9787","0.9787"
"16.999","15551","15551","15551","0.4048","0.4048","0.4048","15381","15381","15381","0.7475","0.7475","0.7475","15211","15211","15211","0.9876","0.9876","0.9876","15211","15211","15211","0.9789","0.9789","0.9789"
"17.999","16521","16521","16521","0.4035","0.4035","0.4035","16341","16341","16341","0.755","0.755","0.755","16161","16161","16161","0.988","0.988","0.988","16161","16161","16161","0.9792","0.9792","0.9792"
"18.999","17491","17491","17491","0.4055","0.4055","0.4055","17301","17301","17301","0.7696","0.7696","0.7696","17111","17111","17111","0.9883","0.9883","0.9883","17111","17111","17111","0.9796","0.9796","0.9796"
"19.999","18461","18461","18461","0.4046","0.4046","0.4046","18261","18261","18261","0.7631","0.7631","0.7631","18061","18061","18061","0.9883","0.9883","0.9883","18061","18061","18061","0.9802","0.9802","0.9802"
"20.999","19431","19431","19431","0.4071","0.4071","0.4071","19221","19221","19221","0.7779","0.7779","0.7779","19011","19011","19011","0.9888","0.9888","0.9888","19011","19011","19011","0.9802","0.9802","0.9802"