"epoch","nudge 0.1 sigma  - _step","nudge 0.1 sigma  - _step__MIN","nudge 0.1 sigma  - _step__MAX","nudge 0.1 sigma  - avg_separation","nudge 0.1 sigma  - avg_separation__MIN","nudge 0.1 sigma  - avg_separation__MAX","nudge 0.1 sigma  - hard accuracy","nudge 0.1 sigma  - hard accuracy__MIN","nudge 0.1 sigma  - hard accuracy__MAX","nudge 0.1 base - _step","nudge 0.1 base - _step__MIN","nudge 0.1 base - _step__MAX","nudge 0.1 base - avg_separation","nudge 0.1 base - avg_separation__MIN","nudge 0.1 base - avg_separation__MAX","nudge 0.1 base - hard accuracy","nudge 0.1 base - hard accuracy__MIN","nudge 0.1 base - hard accuracy__MAX"
"1","30.5","30","31","0.12174876900772325","0.12174876900772325","0.12174876900772325","0.1137","0.1137","0.1137","20.5","20","21","0.1084791560118383","0.1084791560118383","0.1084791560118383","0.1137","0.1137","0.1137"
"1.999","1000.5","1000","1001","0.12174876900772325","0.12174876900772325","0.12174876900772325","0.2621","0.2621","0.2621","980.5","980","981","0.1084791560118383","0.1084791560118383","0.1084791560118383","0.2661","0.2661","0.2661"
"2.999","1970.5","1970","1971","0.12174876900772325","0.12174876900772325","0.12174876900772325","0.2753","0.2753","0.2753","1940.5","1940","1941","0.1084791560118383","0.1084791560118383","0.1084791560118383","0.2785","0.2785","0.2785"
"3.999","2940.5","2940","2941","0.12174876900772325","0.12174876900772325","0.12174876900772325","0.2906","0.2906","0.2906","2900.5","2900","2901","0.1084791560118383","0.1084791560118383","0.1084791560118383","0.2972","0.2972","0.2972"
"4.999","3910.5","3910","3911","0.12174876900772325","0.12174876900772325","0.12174876900772325","0.2986","0.2986","0.2986","3860.5","3860","3861","0.1084791560118383","0.1084791560118383","0.1084791560118383","0.3186","0.3186","0.3186"
"5.999","4880.5","4880","4881","0.13311113554929604","0.13311113554929604","0.13311113554929604","0.3219","0.3219","0.3219","4820.5","4820","4821","0.1084791560118383","0.1084791560118383","0.1084791560118383","0.3651","0.3651","0.3651"
"6.999","5850.5","5850","5851","0.15650739258738383","0.15650739258738383","0.15650739258738383","0.3451","0.3451","0.3451","5780.5","5780","5781","0.1084791560118383","0.1084791560118383","0.1084791560118383","0.4161","0.4161","0.4161"
"7.999","6820.5","6820","6821","0.16986810971455105","0.16986810971455105","0.16986810971455105","0.3545","0.3545","0.3545","6740.5","6740","6741","0.1084791560118383","0.1084791560118383","0.1084791560118383","0.4559","0.4559","0.4559"
"8.999","7790.5","7790","7791","0.18070224979879065","0.18070224979879065","0.18070224979879065","0.384","0.384","0.384","7700.5","7700","7701","0.1084791560118383","0.1084791560118383","0.1084791560118383","0.4787","0.4787","0.4787"
"9.999","8760.5","8760","8761","0.19164920898526389","0.19164920898526389","0.19164920898526389","0.3884","0.3884","0.3884","8660.5","8660","8661","0.1084791560118383","0.1084791560118383","0.1084791560118383","0.5098","0.5098","0.5098"
"10.999","9730.5","9730","9731","0.19472780290587283","0.19472780290587283","0.19472780290587283","0.3929","0.3929","0.3929","9620.5","9620","9621","0.1084791560118383","0.1084791560118383","0.1084791560118383","0.5549","0.5549","0.5549"
"11.999","10700.5","10700","10701","0.19472780290587283","0.19472780290587283","0.19472780290587283","0.4013","0.4013","0.4013","10580.5","10580","10581","0.1084791560118383","0.1084791560118383","0.1084791560118383","0.6068","0.6068","0.6068"
"12.999","11670.5","11670","11671","0.19472780290587283","0.19472780290587283","0.19472780290587283","0.4006","0.4006","0.4006","11540.5","11540","11541","0.1084791560118383","0.1084791560118383","0.1084791560118383","0.6585","0.6585","0.6585"
"13.999","12640.5","12640","12641","0.19472780290587283","0.19472780290587283","0.19472780290587283","0.3983","0.3983","0.3983","12500.5","12500","12501","0.1084791560118383","0.1084791560118383","0.1084791560118383","0.707","0.707","0.707"
"14.999","13610.5","13610","13611","0.19472780290587283","0.19472780290587283","0.19472780290587283","0.4004","0.4004","0.4004","13460.5","13460","13461","0.1084791560118383","0.1084791560118383","0.1084791560118383","0.725","0.725","0.725"
"15.999","14580.5","14580","14581","0.19472780290587283","0.19472780290587283","0.19472780290587283","0.401","0.401","0.401","14420.5","14420","14421","0.1084791560118383","0.1084791560118383","0.1084791560118383","0.7383","0.7383","0.7383"
"16.999","15550.5","15550","15551","0.19472780290587283","0.19472780290587283","0.19472780290587283","0.4048","0.4048","0.4048","15380.5","15380","15381","0.1084791560118383","0.1084791560118383","0.1084791560118383","0.7475","0.7475","0.7475"
"17.999","16520.5","16520","16521","0.19472780290587283","0.19472780290587283","0.19472780290587283","0.4035","0.4035","0.4035","16340.5","16340","16341","0.1084791560118383","0.1084791560118383","0.1084791560118383","0.755","0.755","0.755"
"18.999","17490.5","17490","17491","0.19472780290587283","0.19472780290587283","0.19472780290587283","0.4055","0.4055","0.4055","17300.5","17300","17301","0.1084791560118383","0.1084791560118383","0.1084791560118383","0.7696","0.7696","0.7696"
"19.999","18460.5","18460","18461","0.19472780290587283","0.19472780290587283","0.19472780290587283","0.4046","0.4046","0.4046","18260.5","18260","18261","0.1084791560118383","0.1084791560118383","0.1084791560118383","0.7631","0.7631","0.7631"
"20.999","19430.5","19430","19431","0.19472780290587283","0.19472780290587283","0.19472780290587283","0.4071","0.4071","0.4071","19220.5","19220","19221","0.1084791560118383","0.1084791560118383","0.1084791560118383","0.7779","0.7779","0.7779"